,precision,recall,f1-score,support
battery,0.6410256410256411,0.9523809523809523,0.7662835249042146,210.0
biological,0.5603217158176944,0.9812206572769953,0.7133105802047781,213.0
clothes,0.9917695473251029,0.6931927133269415,0.8160270880361173,1043.0
glass,0.8994413407821229,0.6133333333333333,0.7293318233295584,525.0
metal,0.5408450704225352,0.8571428571428571,0.6632124352331606,224.0
paper,0.7632743362831859,0.7387580299785867,0.750816104461371,467.0
plastic,0.6054054054054054,0.8389513108614233,0.7032967032967034,267.0
accuracy,0.7511020684977958,0.7511020684977958,0.7511020684977958,0.7511020684977958
macro avg,0.7145832938659555,0.8107114077572984,0.7346111799237006,2949.0
weighted avg,0.8137768416132213,0.7511020684977958,0.7574910410102067,2949.0
