,precision,recall,f1-score,support
battery,0.5679442508710801,0.7761904761904762,0.6559356136820925,210.0
biological,0.5780730897009967,0.8169014084507042,0.6770428015564203,213.0
clothes,0.8811111111111111,0.7603068072866731,0.8162635100360268,1043.0
glass,0.7036199095022625,0.5923809523809523,0.6432264736297828,525.0
metal,0.45627376425855515,0.5357142857142857,0.4928131416837782,224.0
paper,0.6287015945330297,0.5910064239828694,0.609271523178808,467.0
plastic,0.526813880126183,0.6254681647940075,0.571917808219178,267.0
accuracy,0.6795523906408952,0.6795523906408952,0.6795523906408952,0.6795523906408952
macro avg,0.6203625143004599,0.6711383598285668,0.6380672674265838,2949.0
weighted avg,0.7010055869790939,0.6795523906408952,0.6845152034873377,2949.0
